Case,AoA,Case_ID,Gust,MSE_Cl,RMSE_Cl,MAE_Cl,RelL2Err_Cl,CosineSim_Cl,Peak_Cl_Error,Peak_Cl_Error_Signed,Peak_Timing_Error,Integrated_Abs_Error,Integrated_Sq_Error,Normalized_Integrated_Abs_Error
AoA20_RD17_G_2.8,20,RD17,2.80,0.079134,0.281307,0.172550,0.148922,0.989052,0.269436,0.269436,103,1020.741162,468.147350,0.116762
AoA20_RD29_G_1.2,20,RD29,1.20,0.009586,0.097910,0.067819,0.067133,0.997794,0.020326,0.020326,86,401.130884,56.699380,0.057930
AoA20_RD5_G_n2.2,20,RD5,-2.20,0.162890,0.403596,0.219168,0.138765,0.990332,0.032404,0.032404,275,1296.578420,963.654559,0.098142
AoA20_RD8_G_0.8,20,RD8,0.80,0.001639,0.040489,0.022930,0.051919,0.998653,0.012345,0.012345,47,135.648018,9.698605,0.029614
AoA30_RD11_G_1.2,30,RD11,1.20,0.007869,0.088706,0.042514,0.097008,0.996740,0.360603,0.360603,61,251.497689,46.551717,0.048515
AoA30_RD13_G_n3.6,30,RD13,-3.60,0.731623,0.855350,0.415848,0.234855,0.972895,0.311877,0.311877,109,2460.091576,4328.275137,0.158412
AoA30_RD2_G_3.4,30,RD2,3.40,0.007613,0.087255,0.057413,0.076682,0.997282,0.149893,0.149893,42,339.619003,45.039565,0.056692
AoA30_RD22_G_n0.4,30,RD22,-0.40,0.005262,0.072537,0.044251,0.087373,0.996216,0.025461,0.025461,3,261.781824,31.128059,0.055462
AoA30_RD4_G_n1.2,30,RD4,-1.20,0.003870,0.062211,0.034328,0.074139,0.997393,0.069313,0.069313,7,203.070739,22.895882,0.042603
AoA40_RD1_G_n2.2,40,RD1,-2.20,0.009219,0.096015,0.064503,0.096462,0.995352,0.045326,0.045326,123,381.578549,54.538487,0.066464
AoA40_RD12_G_n2.0,40,RD12,-2.00,0.202952,0.450502,0.277599,0.162808,0.987741,0.138059,0.138059,89,1642.232473,1200.660470,0.125125
AoA40_RD16_G_4.0,40,RD16,4.00,2.034051,1.426202,1.106576,0.353285,0.938436,0.402577,0.402577,127,6544.336446,12028.742711,0.422586
AoA40_RD19_G_0.8,40,RD19,0.80,0.004374,0.066138,0.044760,0.060386,0.998178,0.015381,0.015381,51,264.795480,25.877651,0.042699
AoA40_RD6_G_1.8,40,RD6,1.80,0.005058,0.071122,0.045213,0.047808,0.998879,0.307034,0.307034,44,267.436665,29.921338,0.036575
AoA50_RD18_G_2.2,50,RD18,2.20,0.021445,0.146442,0.091310,0.091194,0.995870,0.031647,0.031647,158,540.158133,126.868018,0.067264
AoA50_RD21_G_n4.0,50,RD21,-4.00,0.026514,0.162831,0.093076,0.157784,0.988239,0.184748,0.184748,251,550.621176,156.855661,0.091204
AoA50_RD4_G_n3.0,50,RD4,-3.00,0.236605,0.486421,0.267022,0.149418,0.992260,2.067983,2.067983,17,1579.666008,1399.756035,0.113099
AoA50_RD7_G_0.4,50,RD7,0.40,0.001514,0.038904,0.028140,0.034230,0.999679,0.088406,0.088406,34,166.472558,8.954144,0.025569
AoA50_RD8_G_n2.0,50,RD8,-2.00,0.014783,0.121585,0.072870,0.096215,0.995502,0.492525,0.492525,3,431.070775,87.453453,0.062584
AoA60_RD10_G_n0.4,60,RD10,-0.40,0.002700,0.051964,0.033851,0.048801,0.998936,0.016106,0.016106,23,200.248256,15.974311,0.032848
AoA60_RD24_G_n1.8,60,RD24,-1.80,0.002736,0.052308,0.032544,0.052820,0.998623,0.121469,0.121469,4,192.521468,16.186738,0.033772
AoA60_RD26_G_2.0,60,RD26,2.00,0.009665,0.098312,0.048155,0.085744,0.997011,0.334270,0.334270,64,284.870500,57.179567,0.044022
AoA60_RD6_G_n3.0,60,RD6,-3.00,0.004261,0.065278,0.049630,0.071442,0.997472,0.011102,0.011102,139,293.584865,25.208122,0.055067
AoA60_RD9_G_n3.0,60,RD9,-3.00,0.577217,0.759748,0.469983,0.373341,0.944095,2.027129,2.027129,201,2780.224616,3414.748305,0.260661
AVERAGE,-,-,-,0.173441,0.253464,0.158419,0.119106,0.990110,0.313976,0.313976,85.875000,937.082387,1025.875636,0.089320
