Case,AoA,Case_ID,Gust,MSE_Cl,RMSE_Cl,MAE_Cl,RelL2Err_Cl,CosineSim_Cl,Peak_Cl_Error,Peak_Cl_Error_Signed,Peak_Timing_Error,Integrated_Abs_Error,Integrated_Sq_Error,Normalized_Integrated_Abs_Error
AoA20_RD17_G_2.8,20,RD17,2.80,0.014977,0.122381,0.060575,0.064787,0.998695,0.485267,0.485267,3,358.353655,88.604576,0.040992
AoA20_RD29_G_1.2,20,RD29,1.20,0.000742,0.027246,0.019025,0.018682,0.999832,0.027150,0.027150,5,112.544819,4.391802,0.016253
AoA20_RD5_G_n2.2,20,RD5,-2.20,0.009685,0.098414,0.059862,0.033837,0.999437,0.147212,0.147212,55,354.129792,57.298629,0.026805
AoA20_RD8_G_0.8,20,RD8,0.80,0.000197,0.014050,0.010470,0.018016,0.999898,0.028903,0.028903,23,61.936227,1.167757,0.013522
AoA30_RD11_G_1.2,30,RD11,1.20,0.000258,0.016070,0.010051,0.017574,0.999852,0.002428,0.002428,13,59.452647,1.527640,0.011469
AoA30_RD13_G_n3.6,30,RD13,-3.60,0.088413,0.297343,0.169027,0.081642,0.996766,1.044366,1.044366,63,999.945241,523.048947,0.064389
AoA30_RD2_G_3.4,30,RD2,3.40,0.001448,0.038055,0.022313,0.033444,0.999465,0.004286,0.004286,17,131.999804,8.567347,0.022034
AoA30_RD22_G_n0.4,30,RD22,-0.40,0.000264,0.016259,0.011474,0.019584,0.999832,0.021967,0.021967,48,67.872960,1.563740,0.014380
AoA30_RD4_G_n1.2,30,RD4,-1.20,0.000633,0.025157,0.014554,0.029981,0.999626,0.050772,0.050772,32,86.090831,3.744103,0.018061
AoA40_RD1_G_n2.2,40,RD1,-2.20,0.000877,0.029608,0.020489,0.029746,0.999558,0.048407,0.048407,52,121.206419,5.186281,0.021112
AoA40_RD12_G_n2.0,40,RD12,-2.00,0.005035,0.070959,0.046919,0.025644,0.999701,0.019547,0.019547,11,277.564244,29.787636,0.021148
AoA40_RD16_G_4.0,40,RD16,4.00,0.945333,0.972282,0.837671,0.240844,0.983589,2.316359,2.316359,23,4954.970065,5592.037672,0.319956
AoA40_RD19_G_0.8,40,RD19,0.80,0.000924,0.030396,0.019404,0.027753,0.999663,0.074479,0.074479,17,114.781527,5.465899,0.018509
AoA40_RD6_G_1.8,40,RD6,1.80,0.000998,0.031584,0.018178,0.021231,0.999775,0.001805,0.001805,1,107.535228,5.901444,0.014707
AoA50_RD18_G_2.2,50,RD18,2.20,0.005154,0.071792,0.042237,0.044707,0.999091,0.081165,0.081165,10,249.863984,30.491368,0.031115
AoA50_RD21_G_n4.0,50,RD21,-4.00,0.002444,0.049441,0.034773,0.047908,0.999006,0.050042,0.050042,68,205.705143,14.460684,0.034073
AoA50_RD4_G_n3.0,50,RD4,-3.00,0.010737,0.103621,0.068250,0.031830,0.999494,0.057482,0.057482,20,403.761954,63.522456,0.028908
AoA50_RD7_G_0.4,50,RD7,0.40,0.000255,0.015957,0.012420,0.014040,0.999952,0.019682,0.019682,28,73.465670,1.506231,0.011284
AoA50_RD8_G_n2.0,50,RD8,-2.00,0.001105,0.033239,0.022290,0.026303,0.999773,0.053628,0.053628,31,131.864656,6.535997,0.019145
AoA60_RD10_G_n0.4,60,RD10,-0.40,0.000248,0.015741,0.012063,0.014783,0.999903,0.017024,0.017024,43,71.362558,1.465780,0.011706
AoA60_RD24_G_n1.8,60,RD24,-1.80,0.000710,0.026652,0.016397,0.026913,0.999644,0.041159,0.041159,30,97.001691,4.202333,0.017016
AoA60_RD26_G_2.0,60,RD26,2.00,0.000368,0.019182,0.011785,0.016729,0.999904,0.006949,0.006949,27,69.713926,2.176642,0.010773
AoA60_RD6_G_n3.0,60,RD6,-3.00,0.001763,0.041988,0.029195,0.045953,0.998944,0.076478,0.076478,59,172.710333,10.430045,0.032395
AoA60_RD9_G_n3.0,60,RD9,-3.00,0.037505,0.193662,0.105522,0.095166,0.995499,0.031879,0.031879,11,624.240178,221.878816,0.058526
AVERAGE,-,-,-,0.047086,0.098378,0.069789,0.042796,0.998621,0.196185,0.196185,28.750000,412.836398,278.540159,0.036595
