Case,AoA,Case_ID,Gust,MSE_Cl,RMSE_Cl,MAE_Cl,RelL2Err_Cl,CosineSim_Cl,Peak_Cl_Error,Peak_Cl_Error_Signed,Peak_Timing_Error,Integrated_Abs_Error,Integrated_Sq_Error,Normalized_Integrated_Abs_Error
AoA20_RD17_G_2.8,20,RD17,2.80,0.387875,0.622797,0.319843,0.329703,0.946790,1.442246,1.442246,2,1892.100032,2294.657510,0.216436
AoA20_RD29_G_1.2,20,RD29,1.20,0.027095,0.164607,0.102381,0.112865,0.993622,0.035713,0.035713,20,605.413063,160.146031,0.087432
AoA20_RD5_G_n2.2,20,RD5,-2.20,0.092373,0.303929,0.199772,0.104498,0.994785,0.517249,0.517249,139,1181.393625,546.091263,0.089423
AoA20_RD8_G_0.8,20,RD8,0.80,0.018163,0.134771,0.080213,0.172816,0.985921,0.188153,0.188153,3217,474.538577,107.454373,0.103599
AoA30_RD11_G_1.2,30,RD11,1.20,0.010221,0.101097,0.069346,0.110558,0.994503,0.012513,0.012513,12,410.208606,60.461955,0.079131
AoA30_RD13_G_n3.6,30,RD13,-3.60,0.619937,0.787361,0.465077,0.216187,0.986788,1.311872,1.311872,124,2751.360051,3667.545596,0.177168
AoA30_RD2_G_3.4,30,RD2,3.40,0.175291,0.418678,0.203902,0.367946,0.936176,0.175555,0.175555,142,1206.248335,1037.022322,0.201356
AoA30_RD22_G_n0.4,30,RD22,-0.40,0.025025,0.158194,0.097539,0.190548,0.986386,0.261694,0.261694,47,576.998549,148.047611,0.122245
AoA30_RD4_G_n1.2,30,RD4,-1.20,0.029386,0.171424,0.082081,0.204292,0.978975,0.280916,0.280916,198,485.550754,173.846061,0.101866
AoA40_RD1_G_n2.2,40,RD1,-2.20,0.024876,0.157721,0.094696,0.158455,0.987456,0.255460,0.255460,58,560.181452,147.163716,0.097574
AoA40_RD12_G_n2.0,40,RD12,-2.00,0.109155,0.330386,0.219372,0.119399,0.992906,0.145668,0.145668,11,1296.780675,643.718404,0.098804
AoA40_RD16_G_4.0,40,RD16,4.00,3.701120,1.923829,1.562636,0.476552,0.884014,1.743080,1.743080,65,9239.502804,21867.682837,0.596621
AoA40_RD19_G_0.8,40,RD19,0.80,0.019452,0.139471,0.094526,0.127341,0.992486,0.442329,0.442329,53,559.166322,115.074291,0.090168
AoA40_RD6_G_1.8,40,RD6,1.80,0.097826,0.312771,0.158729,0.210244,0.977968,0.238586,0.238586,36,938.954505,578.723294,0.128413
AoA50_RD18_G_2.2,50,RD18,2.20,0.026618,0.163149,0.108739,0.101599,0.995143,0.181730,0.181730,49,643.230225,157.464621,0.080099
AoA50_RD21_G_n4.0,50,RD21,-4.00,0.011844,0.108829,0.070832,0.105456,0.995253,0.313777,0.313777,140,418.940845,70.054238,0.069393
AoA50_RD4_G_n3.0,50,RD4,-3.00,0.168067,0.409960,0.264341,0.125930,0.992079,0.118773,0.118773,56,1563.624968,994.208225,0.111951
AoA50_RD7_G_0.4,50,RD7,0.40,0.008662,0.093068,0.062233,0.081885,0.996706,0.213806,0.213806,49,368.151450,51.242020,0.056545
AoA50_RD8_G_n2.0,50,RD8,-2.00,0.027834,0.166836,0.103261,0.132025,0.993383,0.599326,0.599326,27,610.801922,164.653777,0.088678
AoA60_RD10_G_n0.4,60,RD10,-0.40,0.003453,0.058761,0.042999,0.055185,0.998480,0.179979,0.179979,1,254.342857,20.425237,0.041722
AoA60_RD24_G_n1.8,60,RD24,-1.80,0.019549,0.139817,0.085900,0.141185,0.990491,0.017994,0.017994,96,508.136021,115.645499,0.089137
AoA60_RD26_G_2.0,60,RD26,2.00,0.022090,0.148626,0.075203,0.129626,0.991924,0.085824,0.085824,53,444.852707,130.678271,0.068745
AoA60_RD6_G_n3.0,60,RD6,-3.00,0.031634,0.177860,0.128330,0.194655,0.991973,0.185028,0.185028,146,759.115057,187.134635,0.142384
AoA60_RD9_G_n3.0,60,RD9,-3.00,0.572294,0.756501,0.451670,0.371745,0.954873,2.412007,2.412007,33,2671.388877,3384.755948,0.250457
AVERAGE,-,-,-,0.259577,0.331268,0.214318,0.180862,0.980795,0.473303,0.473303,198.916667,1267.540928,1534.329072,0.132889
