Case,AoA,Case_ID,Gust,MSE_Cl,RMSE_Cl,MAE_Cl,RelL2Err_Cl,CosineSim_Cl,Peak_Cl_Error,Peak_Cl_Error_Signed,Peak_Timing_Error,Integrated_Abs_Error,Integrated_Sq_Error,Normalized_Integrated_Abs_Error
AoA20_RD17_G_2.8,20,RD17,2.80,0.069139,0.262943,0.132689,0.139200,0.994477,0.545959,0.545959,4,784.953672,409.024227,0.089790
AoA20_RD29_G_1.2,20,RD29,1.20,0.011731,0.108312,0.060470,0.074265,0.997537,0.198485,0.198485,2,357.672405,69.394039,0.051654
AoA20_RD5_G_n2.2,20,RD5,-2.20,0.098130,0.313258,0.212745,0.107705,0.994221,0.178082,0.178082,92,1258.529490,580.532373,0.095262
AoA20_RD8_G_0.8,20,RD8,0.80,0.004337,0.065854,0.035698,0.084444,0.996566,0.081224,0.081224,82,211.100839,25.641291,0.046086
AoA30_RD11_G_1.2,30,RD11,1.20,0.004013,0.063345,0.036393,0.069274,0.997664,0.075975,0.075975,45,215.206726,23.724672,0.041514
AoA30_RD13_G_n3.6,30,RD13,-3.60,2.240817,1.496936,0.883390,0.411016,0.954088,2.259759,2.259759,194,5226.117054,13256.671884,0.336524
AoA30_RD2_G_3.4,30,RD2,3.40,0.076358,0.276330,0.125349,0.242847,0.973231,1.093754,1.093754,16,741.417749,451.693758,0.123763
AoA30_RD22_G_n0.4,30,RD22,-0.40,0.009836,0.099177,0.063811,0.119461,0.994405,0.121815,0.121815,72,377.344987,58.139463,0.079946
AoA30_RD4_G_n1.2,30,RD4,-1.20,0.015348,0.123886,0.063861,0.147639,0.989127,0.070483,0.070483,25,377.796652,90.797282,0.079260
AoA40_RD1_G_n2.2,40,RD1,-2.20,0.009141,0.095609,0.058848,0.096054,0.995539,0.146489,0.146489,15,348.103520,54.076986,0.060633
AoA40_RD12_G_n2.0,40,RD12,-2.00,0.050128,0.223894,0.151988,0.080913,0.996751,0.303033,0.303033,31,899.022756,296.522459,0.068498
AoA40_RD16_G_4.0,40,RD16,4.00,1.160928,1.077463,0.931666,0.266899,0.963780,0.393469,0.393469,47,5509.267852,6860.307513,0.355749
AoA40_RD19_G_0.8,40,RD19,0.80,0.008064,0.089802,0.053774,0.081992,0.997501,0.256323,0.256323,27,318.025811,47.689676,0.051283
AoA40_RD6_G_1.8,40,RD6,1.80,0.033427,0.182830,0.101938,0.122898,0.996435,0.484836,0.484836,15,603.017949,197.750349,0.082470
AoA50_RD18_G_2.2,50,RD18,2.20,0.014534,0.120556,0.081193,0.075074,0.997507,0.251171,0.251171,58,480.302451,85.979190,0.059810
AoA50_RD21_G_n4.0,50,RD21,-4.00,0.005964,0.077224,0.052418,0.074831,0.997372,0.125322,0.125322,265,309.968099,35.249225,0.051343
AoA50_RD4_G_n3.0,50,RD4,-3.00,0.046006,0.214489,0.149953,0.065886,0.997891,0.509273,0.509273,19,887.023403,272.154248,0.063508
AoA50_RD7_G_0.4,50,RD7,0.40,0.003366,0.058018,0.037866,0.051047,0.998696,0.100852,0.100852,39,223.997404,19.913639,0.034404
AoA50_RD8_G_n2.0,50,RD8,-2.00,0.019068,0.138088,0.070907,0.109275,0.994073,0.099118,0.099118,3,419.455548,112.806031,0.060898
AoA60_RD10_G_n0.4,60,RD10,-0.40,0.003080,0.055496,0.036630,0.052118,0.998706,0.011056,0.011056,103,216.626945,18.211142,0.035535
AoA60_RD24_G_n1.8,60,RD24,-1.80,0.002456,0.049558,0.035091,0.050043,0.998928,0.080410,0.080410,43,207.547798,14.524968,0.036408
AoA60_RD26_G_2.0,60,RD26,2.00,0.008543,0.092431,0.049580,0.080614,0.996800,0.039629,0.039629,48,293.297767,50.542503,0.045324
AoA60_RD6_G_n3.0,60,RD6,-3.00,0.003454,0.058773,0.043420,0.064323,0.998507,0.179207,0.179207,55,256.756225,20.414819,0.048159
AoA60_RD9_G_n3.0,60,RD9,-3.00,0.402930,0.634768,0.471625,0.311925,0.977108,1.091784,1.091784,36,2789.807804,2383.527628,0.261559
AVERAGE,-,-,-,0.179200,0.249127,0.164221,0.124156,0.991538,0.362396,0.362396,55.666667,971.348371,1059.803724,0.094141
