Case,AoA,Case_ID,Gust,MSE_Cl,RMSE_Cl,MAE_Cl,RelL2Err_Cl,CosineSim_Cl,Peak_Cl_Error,Peak_Cl_Error_Signed,Peak_Timing_Error,Integrated_Abs_Error,Integrated_Sq_Error,Normalized_Integrated_Abs_Error
AoA20_RD17_G_2.8,20,RD17,2.80,0.039622,0.199052,0.106609,0.105376,0.994448,0.360881,0.360881,33,630.596559,234.382693,0.072134
AoA20_RD29_G_1.2,20,RD29,1.20,0.007550,0.086891,0.048724,0.059578,0.998307,0.093550,0.093550,25,288.220559,44.664631,0.041624
AoA20_RD5_G_n2.2,20,RD5,-2.20,0.326484,0.571388,0.286178,0.196456,0.980528,0.961882,0.961882,257,1692.998053,1931.479199,0.128148
AoA20_RD8_G_0.8,20,RD8,0.80,0.003009,0.054855,0.030195,0.070340,0.997844,0.015900,0.015900,80,178.624630,17.801757,0.038996
AoA30_RD11_G_1.2,30,RD11,1.20,0.004377,0.066156,0.041747,0.072348,0.997434,0.121554,0.121554,94,246.935669,25.889472,0.047635
AoA30_RD13_G_n3.6,30,RD13,-3.60,2.454079,1.566550,0.852041,0.430130,0.931858,1.288126,1.288126,176,5040.588436,14518.316852,0.324577
AoA30_RD2_G_3.4,30,RD2,3.40,0.050007,0.223622,0.098824,0.196525,0.981315,0.973489,0.973489,22,584.622805,295.840330,0.097589
AoA30_RD22_G_n0.4,30,RD22,-0.40,0.001571,0.039635,0.025774,0.047741,0.998933,0.074476,0.074476,76,152.448690,9.292536,0.032298
AoA30_RD4_G_n1.2,30,RD4,-1.20,0.003963,0.062953,0.034788,0.075023,0.997715,0.133193,0.133193,9,205.794108,23.445215,0.043174
AoA40_RD1_G_n2.2,40,RD1,-2.20,0.004590,0.067749,0.038236,0.068064,0.997721,0.013899,0.013899,1,226.191259,27.153515,0.039398
AoA40_RD12_G_n2.0,40,RD12,-2.00,0.101235,0.318175,0.181411,0.114986,0.994578,0.648051,0.648051,40,1073.206907,598.908263,0.081770
AoA40_RD16_G_4.0,40,RD16,4.00,0.365051,0.604195,0.489743,0.149665,0.989187,0.414417,0.414417,66,2895.880957,2156.646126,0.186995
AoA40_RD19_G_0.8,40,RD19,0.80,0.007451,0.086319,0.049968,0.078812,0.996890,0.228164,0.228164,28,295.589317,44.078976,0.047665
AoA40_RD6_G_1.8,40,RD6,1.80,0.013406,0.115783,0.055475,0.077829,0.997905,0.175424,0.175424,2,328.110466,79.299302,0.044873
AoA50_RD18_G_2.2,50,RD18,2.20,0.017067,0.130641,0.080404,0.081355,0.998090,0.141674,0.141674,24,475.635940,100.967549,0.059229
AoA50_RD21_G_n4.0,50,RD21,-4.00,0.005898,0.076796,0.050711,0.074415,0.997246,0.056875,0.056875,300,299.983583,34.889045,0.049689
AoA50_RD4_G_n3.0,50,RD4,-3.00,0.093035,0.305017,0.162611,0.093694,0.995628,0.435385,0.435385,52,961.956345,550.394179,0.068873
AoA50_RD7_G_0.4,50,RD7,0.40,0.003269,0.057177,0.031199,0.050306,0.998778,0.055588,0.055588,89,184.555835,19.339967,0.028346
AoA50_RD8_G_n2.0,50,RD8,-2.00,0.014672,0.121130,0.075465,0.095855,0.996038,0.284548,0.284548,25,446.303562,86.760149,0.064796
AoA60_RD10_G_n0.4,60,RD10,-0.40,0.003719,0.060984,0.044706,0.057272,0.998360,0.001225,0.001225,33,264.471737,22.001858,0.043383
AoA60_RD24_G_n1.8,60,RD24,-1.80,0.003195,0.056522,0.039377,0.057075,0.998485,0.068504,0.068504,21,232.943783,18.899966,0.040863
AoA60_RD26_G_2.0,60,RD26,2.00,0.014410,0.120043,0.069875,0.104696,0.995166,0.296073,0.296073,27,413.377153,85.250787,0.063881
AoA60_RD6_G_n3.0,60,RD6,-3.00,0.007591,0.087126,0.071606,0.095353,0.995504,0.189487,0.189487,140,423.576835,44.905629,0.079449
AoA60_RD9_G_n3.0,60,RD9,-3.00,0.293729,0.541967,0.381463,0.266323,0.976801,0.858639,0.858639,122,2256.610377,1737.669286,0.211569
AVERAGE,-,-,-,0.159957,0.234197,0.139464,0.113301,0.991865,0.328792,0.328792,72.583333,824.967649,946.178220,0.080706
