Case,AoA,Case_ID,Gust,MSE_Cl,RMSE_Cl,MAE_Cl,RelL2Err_Cl,CosineSim_Cl,Peak_Cl_Error,Peak_Cl_Error_Signed,Peak_Timing_Error,Integrated_Abs_Error,Integrated_Sq_Error,Normalized_Integrated_Abs_Error
AoA20_RD17_G_2.8,20,RD17,2.80,0.040437,0.201089,0.101731,0.106455,0.995517,0.171571,0.171571,2,601.797804,239.221866,0.068839
AoA20_RD29_G_1.2,20,RD29,1.20,0.009087,0.095325,0.060834,0.065361,0.997862,0.188580,0.188580,61,359.853606,53.754798,0.051969
AoA20_RD5_G_n2.2,20,RD5,-2.20,0.153629,0.391955,0.229012,0.134763,0.991202,0.400676,0.400676,92,1354.769811,908.858241,0.102546
AoA20_RD8_G_0.8,20,RD8,0.80,0.003635,0.060287,0.039276,0.077306,0.997028,0.154797,0.154797,6,232.310435,21.499018,0.050717
AoA30_RD11_G_1.2,30,RD11,1.20,0.003423,0.058507,0.034100,0.063983,0.998153,0.073184,0.073184,6,201.700094,20.248312,0.038909
AoA30_RD13_G_n3.6,30,RD13,-3.60,2.071060,1.439118,0.846373,0.395141,0.957367,1.813883,1.813883,4,5006.928307,12252.304846,0.322410
AoA30_RD2_G_3.4,30,RD2,3.40,0.089584,0.299306,0.147398,0.263038,0.968595,1.201237,1.201237,10,871.972746,529.976206,0.145556
AoA30_RD22_G_n0.4,30,RD22,-0.40,0.008992,0.094826,0.060293,0.114220,0.994110,0.051830,0.051830,53,356.601068,53.180625,0.075551
AoA30_RD4_G_n1.2,30,RD4,-1.20,0.007358,0.085776,0.053869,0.102223,0.996055,0.141029,0.141029,123,318.685323,43.527322,0.066858
AoA40_RD1_G_n2.2,40,RD1,-2.20,0.003172,0.056321,0.036141,0.056583,0.998404,0.172284,0.172284,8,213.802762,18.765861,0.037241
AoA40_RD12_G_n2.0,40,RD12,-2.00,0.079358,0.281705,0.186659,0.101806,0.994983,0.032297,0.032297,16,1104.154156,469.453507,0.084128
AoA40_RD16_G_4.0,40,RD16,4.00,0.939590,0.969324,0.807011,0.240112,0.979831,1.539868,1.539868,88,4772.968355,5556.635339,0.308204
AoA40_RD19_G_0.8,40,RD19,0.80,0.012096,0.109983,0.068670,0.100418,0.994976,0.117552,0.117552,73,406.079657,71.502344,0.065482
AoA40_RD6_G_1.8,40,RD6,1.80,0.013978,0.118228,0.075971,0.079472,0.998209,0.250319,0.250319,8,449.373667,82.682708,0.061457
AoA50_RD18_G_2.2,50,RD18,2.20,0.019193,0.138539,0.087569,0.086273,0.996712,0.147552,0.147552,58,517.947526,113.523430,0.064498
AoA50_RD21_G_n4.0,50,RD21,-4.00,0.014004,0.118339,0.070690,0.114671,0.994476,0.158314,0.158314,253,418.129202,82.839420,0.069258
AoA50_RD4_G_n3.0,50,RD4,-3.00,0.101109,0.317976,0.195634,0.097675,0.996646,0.462323,0.462323,62,1157.275835,598.148170,0.082858
AoA50_RD7_G_0.4,50,RD7,0.40,0.003480,0.058989,0.043295,0.051901,0.998832,0.034250,0.034250,91,256.101845,20.584579,0.039335
AoA50_RD8_G_n2.0,50,RD8,-2.00,0.021918,0.148046,0.079913,0.117156,0.993302,0.174829,0.174829,16,472.638799,129.632925,0.068619
AoA60_RD10_G_n0.4,60,RD10,-0.40,0.005308,0.072859,0.049179,0.068424,0.998174,0.085050,0.085050,159,290.839285,31.384021,0.047709
AoA60_RD24_G_n1.8,60,RD24,-1.80,0.005105,0.071447,0.046959,0.072146,0.997925,0.018313,0.018313,22,277.797731,30.198635,0.048731
AoA60_RD26_G_2.0,60,RD26,2.00,0.011111,0.105407,0.072133,0.091932,0.996817,0.330677,0.330677,81,426.672315,65.722862,0.065935
AoA60_RD6_G_n3.0,60,RD6,-3.00,0.006951,0.083373,0.054285,0.091246,0.996835,0.117068,0.117068,23,321.123768,41.120901,0.060232
AoA60_RD9_G_n3.0,60,RD9,-3.00,0.502629,0.708963,0.518849,0.348385,0.971764,1.396394,1.396394,48,3069.238015,2973.422533,0.287757
AVERAGE,-,-,-,0.171925,0.253570,0.165244,0.126695,0.991824,0.384745,0.384745,56.791667,977.448421,1017.007853,0.096450
