Case,AoA,Case_ID,Gust,MSE_Cl,RMSE_Cl,MAE_Cl,RelL2Err_Cl,CosineSim_Cl,Peak_Cl_Error,Peak_Cl_Error_Signed,Peak_Timing_Error,Integrated_Abs_Error,Integrated_Sq_Error,Normalized_Integrated_Abs_Error
AoA20_RD17_G_2.8,20,RD17,2.80,0.241564,0.491491,0.245850,0.252547,0.967637,0.108164,0.108164,16,270.279626,265.673638,0.160909
AoA20_RD29_G_1.2,20,RD29,1.20,0.024184,0.155512,0.099595,0.103857,0.995207,0.389137,0.389137,2,109.542604,26.602236,0.083111
AoA20_RD5_G_n2.2,20,RD5,-2.20,0.053804,0.231957,0.151472,0.077116,0.997116,0.439114,0.439114,13,165.574695,57.042042,0.064382
AoA20_RD8_G_0.8,20,RD8,0.80,0.005766,0.075932,0.052492,0.097470,0.995637,0.215414,0.215414,0,57.688429,6.337149,0.067894
AoA30_RD11_G_1.2,30,RD11,1.20,0.003856,0.062097,0.043442,0.067690,0.998023,0.001920,0.001920,15,47.740447,4.238780,0.049558
AoA30_RD13_G_n3.6,30,RD13,-3.60,2.381703,1.543277,0.897341,0.409724,0.939842,1.878300,1.878300,16,987.068685,2619.872990,0.326913
AoA30_RD2_G_3.4,30,RD2,3.40,0.098721,0.314198,0.151685,0.271847,0.967347,1.156343,1.156343,1,166.731631,108.566073,0.148165
AoA30_RD22_G_n0.4,30,RD22,-0.40,0.026731,0.163497,0.105721,0.197291,0.982103,0.182996,0.182996,339,115.959654,29.195110,0.132882
AoA30_RD4_G_n1.2,30,RD4,-1.20,0.031814,0.178364,0.100496,0.212565,0.978328,0.251300,0.251300,317,110.403859,34.960113,0.125056
AoA40_RD1_G_n2.2,40,RD1,-2.20,0.012791,0.113095,0.077614,0.113795,0.994121,0.175413,0.175413,5,85.015695,13.839441,0.079974
AoA40_RD12_G_n2.0,40,RD12,-2.00,0.074671,0.273261,0.183646,0.095669,0.996473,0.160578,0.160578,10,201.696310,82.008677,0.079443
AoA40_RD16_G_4.0,40,RD16,4.00,3.495307,1.869574,1.462369,0.448714,0.897941,4.184182,4.184182,53,1606.796585,3840.964153,0.552500
AoA40_RD19_G_0.8,40,RD19,0.80,0.009859,0.099293,0.065524,0.089561,0.996023,0.063051,0.063051,4,71.999127,10.833080,0.061815
AoA40_RD6_G_1.8,40,RD6,1.80,0.041774,0.204387,0.121787,0.134725,0.995201,0.279228,0.279228,12,133.702588,45.824395,0.097129
AoA50_RD18_G_2.2,50,RD18,2.20,0.021507,0.146653,0.098813,0.089311,0.996140,0.020717,0.020717,14,108.547434,23.629450,0.071362
AoA50_RD21_G_n4.0,50,RD21,-4.00,0.010804,0.103944,0.081361,0.101881,0.994917,0.090482,0.090482,33,89.297336,11.817345,0.080535
AoA50_RD4_G_n3.0,50,RD4,-3.00,0.225963,0.475355,0.282514,0.141134,0.991156,1.937090,1.937090,8,310.630901,248.537187,0.114226
AoA50_RD7_G_0.4,50,RD7,0.40,0.022838,0.151122,0.097735,0.133324,0.992440,0.031087,0.031087,8,107.345522,25.082411,0.089191
AoA50_RD8_G_n2.0,50,RD8,-2.00,0.020608,0.143554,0.105693,0.112137,0.993694,0.256454,0.256454,0,115.983558,22.519348,0.089772
AoA60_RD10_G_n0.4,60,RD10,-0.40,0.009366,0.096780,0.066396,0.089364,0.996646,0.074557,0.074557,16,72.730921,10.128615,0.063067
AoA60_RD24_G_n1.8,60,RD24,-1.80,0.012930,0.113712,0.076846,0.113136,0.995057,0.092741,0.092741,16,84.421804,14.209710,0.078492
AoA60_RD26_G_2.0,60,RD26,2.00,0.006227,0.078913,0.060299,0.067530,0.997794,0.193016,0.193016,12,66.159475,6.797521,0.053922
AoA60_RD6_G_n3.0,60,RD6,-3.00,0.022198,0.148989,0.112692,0.161297,0.991179,0.340873,0.340873,21,123.749412,24.351169,0.123548
AoA60_RD9_G_n3.0,60,RD9,-3.00,1.238274,1.112778,0.775495,0.529332,0.957425,2.790854,2.790854,7,852.334115,1361.186072,0.411436
AVERAGE,-,-,-,0.337219,0.347822,0.229870,0.171292,0.983644,0.638042,0.638042,39.083333,252.558350,370.592363,0.133553
